,Houston Power Savers,INVOICE,Unnamed: 2
0,TACLB020326E,,
1,,,
2,10222 Inwood Dr,DATE:,2020-09-24 00:00:00
3,"Houston,Texas 77042",INVOICE #,00200924
4,Office: (832) 968-0000,FOR:,New Installation
5,www.HoustonPowerSavers.com,,
6,,,
7,,,
8,,,
9,St. Joseph Catholic Church,,
10,1505 Kane St,,
11,"Houston, TX 77007",,
12,7136289499,,
13,,,
14,,,
15,DESCRIPTION,,AMOUNT
16,Job required major setup,,
17,*demolition/removal of old units,,
18,*placement and installation of new system,,
19,*platforms needed to place new equipment,,
20,Install new 10 ton 3-phase condensing unit,,
21,subtotal,,10050
22,"Install new 10 ton 3-phase, 15 KW air handler",,
23,subtotal,,6700
24,Crane rental to place condensing unit,,
25, subtotal,,1000
26,,,
27,,,
28,,,
29,,,
30,Notes:,,
31,1/2 of payment down,,
32,1/2 of payment due by job's completion,,
33,HPS provides a 2-year labor warranty,,
34,,TOTAL,17750
35,,,
36,,,
37,Make all checks payable to Houston Power Savers,,
38,"If you have any questions concerning this invoice,Kenneth Longoria 713-3062694",,
39,,,
40,,,
41,THANK YOU FOR YOUR BUSINESS! ,,
